date,total
2018 06 22 20 40,47
2018 06 22 20 50,39
2018 06 22 21 00,40
2018 06 22 21 10,37
2018 06 22 21 20,9
2018 06 22 21 30,15
2018 06 22 21 40,23
2018 06 22 21 50,25
2018 06 22 22 00,15
2018 06 22 22 10,11
2018 06 22 22 20,11
2018 06 22 22 30,15
2018 06 22 22 40,15
2018 06 22 22 50,15
2018 06 22 23 00,16
2018 06 22 23 10,13
2018 06 22 23 20,8
2018 06 22 23 30,2
2018 06 22 23 40,6
2018 06 22 23 50,9
2018 06 23 00 00,7
2018 06 23 00 10,8
2018 06 23 00 20,1
2018 06 23 00 30,5
2018 06 23 00 40,2
2018 06 23 00 50,4
2018 06 23 01 00,5
2018 06 23 01 10,5
2018 06 23 01 20,1
2018 06 23 01 30,2
2018 06 23 01 40,0
2018 06 23 01 50,0
2018 06 23 02 00,0
2018 06 23 02 10,1
2018 06 23 02 20,2
2018 06 23 02 30,0
2018 06 23 02 40,3
2018 06 23 02 50,5
2018 06 23 03 00,5
2018 06 23 03 10,1
2018 06 23 03 20,0
2018 06 23 03 30,0
2018 06 23 03 40,3
2018 06 23 03 50,3
2018 06 23 04 00,0
2018 06 23 04 10,0
2018 06 23 04 20,0
2018 06 23 04 30,3
2018 06 23 04 40,1
2018 06 23 04 50,2
2018 06 23 05 00,1
2018 06 23 05 10,0
2018 06 23 05 20,0
2018 06 23 05 30,0
2018 06 23 05 40,1
2018 06 23 05 50,1
2018 06 23 06 00,2
2018 06 23 06 10,2
2018 06 23 06 20,0
2018 06 23 06 30,1
2018 06 23 06 40,0
2018 06 23 06 50,0
2018 06 23 07 00,2
2018 06 23 07 10,0
2018 06 23 07 20,1
2018 06 23 07 30,6
2018 06 23 07 40,12
2018 06 23 07 50,13
2018 06 23 08 00,18
2018 06 23 08 10,19
2018 06 23 08 20,25
2018 06 23 08 30,25
2018 06 23 08 40,22
2018 06 23 08 50,20
2018 06 23 09 00,18
2018 06 23 09 10,23
2018 06 23 09 20,30
2018 06 23 09 30,40
2018 06 23 09 40,53
2018 06 23 09 50,37
2018 06 23 10 00,23
2018 06 23 10 10,26
2018 06 23 10 20,35
2018 06 23 10 30,39
2018 06 23 10 40,40
2018 06 23 10 50,24
2018 06 23 11 00,29
2018 06 23 11 10,36
2018 06 23 11 20,37
2018 06 23 11 30,46
2018 06 23 11 40,42
2018 06 23 11 50,52
2018 06 23 12 00,70
2018 06 23 12 10,91
2018 06 23 12 20,116
2018 06 23 12 30,144
2018 06 23 12 40,137
2018 06 23 12 50,137
2018 06 23 13 00,129
2018 06 23 13 10,128
2018 06 23 13 20,134
2018 06 23 13 30,135
2018 06 23 13 40,108
2018 06 23 13 50,90
2018 06 23 14 00,66
2018 06 23 14 10,49
2018 06 23 14 20,41
2018 06 23 14 30,32
2018 06 23 14 40,38
2018 06 23 14 50,37
2018 06 23 15 00,45
2018 06 23 15 10,38
2018 06 23 15 20,43
2018 06 23 15 30,28
2018 06 23 15 40,32
2018 06 23 15 50,31
2018 06 23 16 00,25
2018 06 23 16 10,22
2018 06 23 16 20,28
2018 06 23 16 30,33
2018 06 23 16 40,34
2018 06 23 16 50,32
2018 06 23 17 00,27
2018 06 23 17 10,35
2018 06 23 17 20,38
2018 06 23 17 30,40
2018 06 23 17 40,63
2018 06 23 17 50,107
2018 06 23 18 00,120
2018 06 23 18 10,124
2018 06 23 18 20,171
2018 06 23 18 30,176
2018 06 23 18 40,170
2018 06 23 18 50,172
2018 06 23 19 00,141
2018 06 23 19 10,121
2018 06 23 19 20,123
2018 06 23 19 30,124
2018 06 23 19 40,125
2018 06 23 19 50,120
2018 06 23 20 00,99
2018 06 23 20 10,57
2018 06 23 20 20,57
2018 06 23 20 30,51
2018 06 23 20 40,46
2018 06 23 20 50,30
2018 06 23 21 00,39
2018 06 23 21 10,36
2018 06 23 21 20,12
2018 06 23 21 30,17
2018 06 23 21 40,16
2018 06 23 21 50,13
2018 06 23 22 00,14
2018 06 23 22 10,15
2018 06 23 22 20,9
2018 06 23 22 30,10
2018 06 23 22 40,9
2018 06 23 22 50,7
2018 06 23 23 00,8
2018 06 23 23 10,8
2018 06 23 23 20,1
2018 06 23 23 30,6
2018 06 23 23 40,4
2018 06 23 23 50,5
2018 06 24 00 00,10
2018 06 24 00 10,0
2018 06 24 00 20,8
2018 06 24 00 30,11
2018 06 24 00 40,6
2018 06 24 00 50,3
2018 06 24 01 00,4
2018 06 24 01 10,7
2018 06 24 01 20,2
2018 06 24 01 30,2
2018 06 24 01 40,2
2018 06 24 01 50,6
2018 06 24 02 00,5
2018 06 24 02 10,4
2018 06 24 02 20,1
2018 06 24 02 30,0
2018 06 24 02 40,1
2018 06 24 02 50,0
2018 06 24 03 00,0
2018 06 24 03 10,0
2018 06 24 03 20,0
2018 06 24 03 30,0
2018 06 24 03 40,0
2018 06 24 03 50,0
2018 06 24 04 00,0
2018 06 24 04 10,1
2018 06 24 04 20,0
2018 06 24 04 30,0
2018 06 24 04 40,0
2018 06 24 04 50,1
2018 06 24 05 00,2
2018 06 24 05 10,0
2018 06 24 05 20,0
2018 06 24 05 30,1
2018 06 24 05 40,1
2018 06 24 05 50,0
2018 06 24 06 00,0
2018 06 24 06 10,0
2018 06 24 06 20,0
2018 06 24 06 30,1
2018 06 24 06 40,1
2018 06 24 06 50,4
2018 06 24 07 00,1
2018 06 24 07 10,1
2018 06 24 07 20,4
2018 06 24 07 30,4
2018 06 24 07 40,4
2018 06 24 07 50,4
2018 06 24 08 00,11
2018 06 24 08 10,11
2018 06 24 08 20,12
2018 06 24 08 30,19
2018 06 24 08 40,22
2018 06 24 08 50,23
2018 06 24 09 00,23
2018 06 24 09 10,18
2018 06 24 09 20,24
2018 06 24 09 30,37
2018 06 24 09 40,21
2018 06 24 09 50,29
2018 06 24 10 00,24
2018 06 24 10 10,26
2018 06 24 10 20,24
2018 06 24 10 30,24
2018 06 24 10 40,26
2018 06 24 10 50,21
2018 06 24 11 00,21
2018 06 24 11 10,22
2018 06 24 11 20,34
2018 06 24 11 30,35
2018 06 24 11 40,39
2018 06 24 11 50,55
2018 06 24 12 00,60
2018 06 24 12 10,73
2018 06 24 12 20,106
2018 06 24 12 30,118
2018 06 24 12 40,116
2018 06 24 12 50,107
2018 06 24 13 00,117
2018 06 24 13 10,117
2018 06 24 13 20,133
2018 06 24 13 30,119
2018 06 24 13 40,106
2018 06 24 13 50,90
2018 06 24 14 00,81
2018 06 24 14 10,77
2018 06 24 14 20,55
2018 06 24 14 30,58
2018 06 24 14 40,56
2018 06 24 14 50,63
2018 06 24 15 00,58
2018 06 24 15 10,53
2018 06 24 15 20,52
2018 06 24 15 30,44
2018 06 24 15 40,53
2018 06 24 15 50,50
2018 06 24 16 00,41
2018 06 24 16 10,34
2018 06 24 16 20,37
2018 06 24 16 30,41
2018 06 24 16 40,44
2018 06 24 16 50,42
2018 06 24 17 00,31
2018 06 24 17 10,52
2018 06 24 17 20,56
2018 06 24 17 30,58
2018 06 24 17 40,70
2018 06 24 17 50,113
2018 06 24 18 00,113
2018 06 24 18 10,133
2018 06 24 18 20,150
2018 06 24 18 30,180
2018 06 24 18 40,152
2018 06 24 18 50,183
2018 06 24 19 00,182
2018 06 24 19 10,138
2018 06 24 19 20,136
2018 06 24 19 30,118
2018 06 24 19 40,104
2018 06 24 19 50,104
2018 06 24 20 00,75
2018 06 24 20 10,64
2018 06 24 20 20,61
2018 06 24 20 30,54
2018 06 24 20 40,44
2018 06 24 20 50,36
2018 06 24 21 00,31
2018 06 24 21 10,14
2018 06 24 21 20,24
2018 06 24 21 30,13
2018 06 24 21 40,10
2018 06 24 21 50,9
2018 06 24 22 00,15
2018 06 24 22 10,8
2018 06 24 22 20,21
2018 06 24 22 30,27
2018 06 24 22 40,17
2018 06 24 22 50,20
2018 06 24 23 00,17
2018 06 24 23 10,5
2018 06 24 23 20,11
2018 06 24 23 30,14
2018 06 24 23 40,6
2018 06 24 23 50,5
2018 06 25 00 00,0
2018 06 25 00 10,5
2018 06 25 00 20,6
2018 06 25 00 30,3
2018 06 25 00 40,3
2018 06 25 00 50,1
2018 06 25 01 00,4
2018 06 25 01 10,2
2018 06 25 01 20,4
2018 06 25 01 30,3
2018 06 25 01 40,1
2018 06 25 01 50,0
2018 06 25 02 00,2
2018 06 25 02 10,0
2018 06 25 02 20,0
2018 06 25 02 30,1
2018 06 25 02 40,1
2018 06 25 02 50,2
2018 06 25 03 00,0
2018 06 25 03 10,0
2018 06 25 03 20,0
2018 06 25 03 30,0
2018 06 25 03 40,0
2018 06 25 03 50,0
2018 06 25 04 00,0
2018 06 25 04 10,0
2018 06 25 04 20,0
2018 06 25 04 30,0
2018 06 25 04 40,0
2018 06 25 04 50,0
2018 06 25 05 00,0
2018 06 25 05 10,0
2018 06 25 05 20,0
2018 06 25 05 30,0
2018 06 25 05 40,1
2018 06 25 05 50,1
2018 06 25 06 00,0
2018 06 25 06 10,0
2018 06 25 06 20,1
2018 06 25 06 30,0
2018 06 25 06 40,0
2018 06 25 06 50,2
2018 06 25 07 00,3
2018 06 25 07 10,4
2018 06 25 07 20,11
2018 06 25 07 30,10
2018 06 25 07 40,25
2018 06 25 07 50,24
2018 06 25 08 00,36
2018 06 25 08 10,36
2018 06 25 08 20,43
2018 06 25 08 30,69
2018 06 25 08 40,70
2018 06 25 08 50,53
2018 06 25 09 00,58
2018 06 25 09 10,47
2018 06 25 09 20,41
2018 06 25 09 30,36
2018 06 25 09 40,37
2018 06 25 09 50,44
2018 06 25 10 00,53
2018 06 25 10 10,37
2018 06 25 10 20,39
2018 06 25 10 30,32
2018 06 25 10 40,28
2018 06 25 10 50,27
2018 06 25 11 00,27
